"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CREB5",3.33388939928697e-38,0.506738833680372,0.336,0.148,1.12332069419575e-33
"GLRX5",4.65738439310082e-38,-0.351980359538521,0.286,0.511,1.56925909741139e-33
"NUTM2B-AS1",4.92857198752976e-38,-0.285905431086949,0.222,0.432,1.66063304547828e-33
"CYP27A1",6.15326119160493e-38,0.465765817418983,0.36,0.158,2.07327982589937e-33
"ADM",6.97770959291986e-38,0.831518103869396,0.273,0.095,2.35106947023842e-33
"TNFAIP2",8.997773094238e-38,0.366692533703692,0.548,0.338,3.03170966637255e-33
"PHB",9.88314959798323e-38,-0.432148630703931,0.35,0.576,3.33002842554447e-33
"RPL11",1.13284067261911e-37,-0.317661629504452,0.995,0.985,3.81699336232283e-33
"BRD7",1.16922891934857e-37,-0.342014427045264,0.292,0.532,3.93959992085306e-33
"NRGN",1.50248299479031e-37,0.538605240037063,0.522,0.361,5.06246620264647e-33
"LMO2",1.54552291577301e-37,0.439843651153062,0.731,0.651,5.20748491240558e-33
"SSBP2",1.94763688598395e-37,-0.348934022448393,0.149,0.318,6.56236772363431e-33
"MS4A7",2.11062511864408e-37,0.580551756138974,0.41,0.229,7.11154027475937e-33
"LRRC25",2.61821890606811e-37,0.54254800521755,0.387,0.209,8.8218267821059e-33
"CDC20",2.84836153705071e-37,-0.277376536295503,0.038,0.136,9.59726936293865e-33
"EIF5A",3.24186179926947e-37,-0.477962353098378,0.465,0.669,1.09231291464585e-32
"TPM1",3.99665781970336e-37,-0.356385059094121,0.134,0.296,1.34663388577085e-32
"TAPT1",4.38416473524108e-37,-0.267354200235671,0.079,0.21,1.47720046589213e-32
"CKLF",4.48927876395418e-37,0.498477949883268,0.701,0.625,1.51261758672672e-32
"MRPL11",4.9425817126718e-37,-0.297266093365435,0.268,0.493,1.66535348226763e-32
"RPL22",5.2196894464492e-37,-0.272320277555187,0.981,0.948,1.75872216208659e-32
"SAMHD1",6.12457639764724e-37,0.383517051079887,0.709,0.465,2.06361477142326e-32
"FKBP4",6.15709247474324e-37,-0.308062543393675,0.189,0.38,2.07457073843999e-32
"APEX1",6.94119839568167e-37,-0.448383793927594,0.391,0.591,2.33876738744098e-32
"RHOG",8.39243387352863e-37,0.477073885716671,0.677,0.613,2.82774666934674e-32
"H3F3A",8.7187845572331e-37,0.250544075079711,0.994,0.964,2.93770726871412e-32
"SPAG9",8.97673251757784e-37,-0.272138375722143,0.171,0.357,3.02462025447268e-32
"SPNS3",9.29921448562935e-37,-0.25490366433395,0.094,0.234,3.13327732878795e-32
"LTB",1.4555662935283e-36,-0.892670627960677,0.098,0.235,4.90438506941425e-32
"ATP6V0D1",1.49775712435854e-36,0.510118272888797,0.608,0.497,5.04654285481366e-32
"MCEMP1",1.55307078502733e-36,0.503688349833161,0.294,0.113,5.23291670307109e-32
"FCGR1B",2.17239376483056e-36,0.511602219842228,0.23,0.071,7.31966355122009e-32
"PDZD8",3.52067013846728e-36,-0.316962856010768,0.144,0.308,1.18625459645517e-31
"SMAP2",3.82648471298171e-36,0.529654109967107,0.526,0.383,1.28929575919206e-31
"MPST",3.83584145055506e-36,-0.259541825300679,0.239,0.453,1.29244841835002e-31
"CES1",4.06423118320435e-36,0.484321861027554,0.429,0.231,1.36940205486887e-31
"RPL6",4.06937089749314e-36,-0.344724558950795,0.984,0.97,1.37113383020134e-31
"CLEC2D",4.83007507219488e-36,-0.357320608616351,0.037,0.131,1.62744549482534e-31
"ARL2",5.06340086412726e-36,-0.276030246814168,0.228,0.437,1.70606228715904e-31
"SOCS2",5.7033983699476e-36,-0.283891760991508,0.053,0.162,1.92170304677014e-31
"PGK1",6.07604615795303e-36,0.406729671235997,0.751,0.704,2.04726299246069e-31
"ANKRD11",6.35524621824428e-36,-0.407248389329184,0.363,0.597,2.14133666077523e-31
"LAP3",6.54866497471697e-36,0.603124967010376,0.57,0.472,2.20650717658114e-31
"BDP1",7.16997505486071e-36,-0.269073603488277,0.219,0.426,2.41585139498477e-31
"LFNG",7.25647025555326e-36,0.526534161905668,0.305,0.132,2.44499508790612e-31
"CXCL2",7.7986057710707e-36,0.557940916875487,0.447,0.246,2.62766222850456e-31
"PDAP1",8.11731581256894e-36,-0.287985689128756,0.263,0.481,2.73504838988698e-31
"CSTB",8.6811511085428e-36,0.463753970405756,0.692,0.631,2.92502705451241e-31
"SRM",9.34771678047485e-36,-0.348772598967572,0.272,0.483,3.14961969201319e-31
"LINC00528",1.06687195808032e-35,0.511909487103331,0.307,0.133,3.59471837555584e-31
"CCDC85B",1.07006824776244e-35,-0.352343576581092,0.333,0.559,3.60548795401076e-31
"NOP58",1.14976743724772e-35,-0.292319879385977,0.252,0.462,3.87402640306247e-31
"GIMAP7",1.20763220546332e-35,0.535913764258637,0.272,0.112,4.0689959530881e-31
"SNX10",1.62728506636043e-35,0.549947519212086,0.509,0.365,5.48297430259485e-31
"LY96",1.70647702127669e-35,0.524497607824396,0.33,0.163,5.74980367548969e-31
"TFRC",1.72442987041647e-35,-0.261732959061032,0.171,0.352,5.81029400538127e-31
"PSMB9",1.73281167179095e-35,0.469841724886005,0.709,0.632,5.83853564693243e-31
"TMEM154",1.83209925087578e-35,0.551158608946533,0.394,0.227,6.17307521590084e-31
"CPPED1",1.93668195682313e-35,0.571629258733502,0.461,0.311,6.52545618531984e-31
"TTC3",2.08419107535375e-35,-0.35796345267995,0.309,0.536,7.02247340929691e-31
"RTF1",2.45645599498173e-35,-0.381965098486991,0.377,0.613,8.27678282949144e-31
"GATA2",2.63584615717883e-35,-0.280550628509736,0.087,0.217,8.88122004199834e-31
"OAS1",2.65012005041257e-35,0.505814234692057,0.301,0.135,8.92931449786011e-31
"DDX39A",2.93843808847936e-35,-0.319407944210959,0.263,0.472,9.90077329532235e-31
"HOPX",2.9642203411856e-35,-0.382604190030432,0.084,0.212,9.98764401759075e-31
"MZF1-AS1",2.99054861554679e-35,-0.292180201457423,0.042,0.141,1.00763545052234e-30
"ERO1B",4.03980716427527e-35,-0.252844766316915,0.081,0.211,1.36117262593091e-30
"RNF149",5.43536496038802e-35,0.462923071726888,0.536,0.363,1.83139186975314e-30
"ANP32E",5.6710648130072e-35,-0.350779853886189,0.253,0.458,1.91080857809465e-30
"TGFBI",7.27890029256345e-35,0.470218911879821,0.52,0.315,2.45255266457633e-30
"ETFB",8.83083251691012e-35,-0.304876231624766,0.333,0.569,2.9754607082477e-30
"CD38",1.00847590958014e-34,-0.319150746212893,0.197,0.384,3.39795872973934e-30
"TIMM8B",1.0164946038242e-34,-0.287343539535286,0.328,0.567,3.42497691812527e-30
"RBBP4",1.90010304518461e-34,-0.288135670222843,0.288,0.509,6.40220720044502e-30
"UPP1",2.60548242144088e-34,0.475686567733475,0.361,0.181,8.77891247080289e-30
"RPL7",2.78792578448298e-34,-0.300925780118251,0.981,0.941,9.39363713823697e-30
"APOE",2.95877665922902e-34,-0.553690967471606,0.027,0.107,9.96930207560627e-30
"ADGRE5",3.07984279884476e-34,0.531725015112928,0.556,0.411,1.03772223264275e-29
"FAM26F",3.34893321450915e-34,0.457130053184807,0.704,0.614,1.12838955729671e-29
"TCP1",3.41682514524291e-34,-0.323626668860277,0.285,0.499,1.15126506443815e-29
"KLF1",3.59064679092246e-34,-0.39476193436276,0.046,0.143,1.20983252973341e-29
"HLA-DQA1",4.03129832820218e-34,0.505862509319676,0.71,0.609,1.35830565870444e-29
"HMOX1",5.02040896296606e-34,0.466025207328046,0.291,0.124,1.69157659598178e-29
"AP2S1",5.59677031859091e-34,0.40446564951376,0.748,0.687,1.88577579114602e-29
"ENG",6.67888989750879e-34,-0.295678101000278,0.104,0.245,2.25038516206661e-29
