"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IRF1",4.1916121426517e-21,-0.270195398937426,0.629,0.675,1.41232179534506e-16
"FAM65B",6.85620347413353e-21,-0.427951617307858,0.282,0.362,2.31012919857455e-16
"ITM2A",8.34125763423315e-21,-0.319821207623974,0.782,0.768,2.81050334727852e-16
"MBNL1",1.44469681210609e-20,-0.306756972313044,0.756,0.775,4.86776143871024e-16
"DDX5",2.01413751166703e-20,-0.26370697324297,0.978,0.956,6.78643493181088e-16
"CPA3",4.07083105156689e-20,-0.312530462320097,0.387,0.465,1.37162581451495e-15
"EVL",4.4550029161609e-20,-0.457409482195091,0.555,0.598,1.50106868257125e-15
"CLEC2D",5.19088655044661e-20,-0.330970502965448,0.114,0.183,1.74901731430748e-15
"MT2A",1.65957468765816e-19,-0.299780248922494,0.592,0.618,5.5917709525954e-15
"STK4",6.72654889600339e-19,-0.404697155448403,0.593,0.633,2.26644338501938e-14
"XAF1",1.69208097343304e-18,-0.259424407570134,0.537,0.592,5.70129763188527e-14
"ITGA4",2.02155203667511e-18,-0.278124464352251,0.745,0.731,6.81141743237313e-14
"WDFY2",1.0801680957944e-17,-0.267899624115647,0.455,0.506,3.63951838196965e-13
"RAB32",3.36955971250787e-17,0.251813713545883,0.651,0.601,1.1353394495324e-12
"ATM",7.57058614102772e-17,-0.284009736800541,0.322,0.389,2.55083329435788e-12
"RNF24",6.34259667427963e-16,-0.350631976514573,0.584,0.614,2.13707452343178e-11
"SARAF",8.0069241672219e-16,-0.284697557682553,0.888,0.86,2.69785302890375e-11
"FYB",3.43622261054221e-15,-0.312680590020541,0.223,0.297,1.15780084639609e-10
"POLR2J3",9.56680123019081e-14,-0.254242844989076,0.785,0.765,3.22343800650049e-09
"TMSB4X",1.03893254710995e-13,-0.500374955335663,0.905,0.944,3.50057932423226e-09
"ABHD17A",1.18044147198258e-13,-0.257990846099743,0.551,0.583,3.9773794956981e-09
"CST7",2.35760059040116e-13,-0.289742680505557,0.31,0.213,7.94369942929768e-09
"IGHM",3.72139777936634e-12,-0.329779672523883,0.119,0.18,1.25388776777969e-07
"SRGN",5.05173052543127e-11,-0.371162109359997,0.909,0.868,1.70213008323881e-06
"DUSP2",1.64008365968518e-10,-0.363541570748819,0.232,0.283,5.52609788294323e-06
"C1QTNF4",3.67055575838688e-10,-0.276674591928665,0.492,0.539,1.23675705723087e-05
"RP11-489E7.4",9.53932602255564e-10,-0.25952260104309,0.364,0.402,3.2141805100399e-05
"KIAA0125",1.7584261988211e-09,-0.30696570348047,0.619,0.622,5.92484123430781e-05
"RP5-1171I10.5",1.92231874946603e-09,-0.267301437996871,0.411,0.446,6.47706079445084e-05
"MYL12A",4.77170678767768e-09,-0.436448542868882,0.842,0.826,0.000160777888504012
"IER5",1.11500080439845e-08,-0.273376542271589,0.314,0.352,0.000375688371034012
"BTG2",6.98061102741325e-08,-0.32351859759859,0.249,0.287,0.00235204707957662
"IL2RG",7.18384150036281e-08,-0.288297365056386,0.378,0.409,0.00242052355513225
"MT-ND6",7.34322826486363e-07,-0.260250346761652,0.45,0.469,0.0247422733156315
"ANKRD12",1.2515196386029e-06,-0.313369906814826,0.695,0.678,0.042168702703086
"SOX4",2.82913582548942e-06,-0.254928046605468,0.922,0.838,0.0953249025040405
"LEPROTL1",3.65562410544492e-06,-0.256288447356281,0.475,0.489,0.123172598608861
